round,strategy,dataset,cost,f1,ece
17,CoreSet,yahoo_answers_topics,89.5308315944141,0.6016334378194865,0.4083479642868042
18,CoreSet,yahoo_answers_topics,96.8927838178548,0.5552496392496392,0.32767555117607117
19,CoreSet,yahoo_answers_topics,104.2247916198041,0.5606923447748671,0.35629796981811523
20,CoreSet,yahoo_answers_topics,109.93751301849507,0.6167287369493252,0.3495544493198395
21,CoreSet,yahoo_answers_topics,115.04597070605111,0.5661042792736014,0.3179906904697418
22,CoreSet,yahoo_answers_topics,123.18766725392753,0.6312999844041012,0.3102978765964508
23,CoreSet,yahoo_answers_topics,128.67274910529983,0.6290099580085313,0.31697070598602295
24,CoreSet,yahoo_answers_topics,135.53568966010334,0.5972231545564403,0.27042946219444275
25,CoreSet,yahoo_answers_topics,142.138072268983,0.6001395142764753,0.24688759446144104
26,CoreSet,yahoo_answers_topics,148.47112230195444,0.5830396531011366,0.27278876304626465
27,CoreSet,yahoo_answers_topics,156.57120082991392,0.6438419588906987,0.24756380915641785
28,CoreSet,yahoo_answers_topics,163.13723598894063,0.004,0.12086497247219086
29,CoreSet,yahoo_answers_topics,170.13876338733638,0.6334952825277982,0.1485835313796997
30,CoreSet,yahoo_answers_topics,177.20108525765278,0.005674325674325674,0.106182761490345
31,CoreSet,yahoo_answers_topics,183.67857167061862,0.00320855614973262,0.10173003375530243
32,CoreSet,yahoo_answers_topics,190.98823330117716,0.6126359843213955,0.1722021996974945
33,CoreSet,yahoo_answers_topics,196.60829459268155,0.013047189550306926,0.09311117976903915
34,CoreSet,yahoo_answers_topics,203.2455806911263,0.6360127706088745,0.14913207292556763
35,CoreSet,yahoo_answers_topics,209.5228366435635,0.6475079939394127,0.11296679079532623
36,CoreSet,yahoo_answers_topics,217.3051041349498,0.0,0.11466791480779648
37,CoreSet,yahoo_answers_topics,223.9833641960637,0.6227039065254129,0.08404771983623505
38,CoreSet,yahoo_answers_topics,232.3323911613319,0.6319991292909162,0.10457922518253326
39,CoreSet,yahoo_answers_topics,240.33770611504167,0.6406324529568992,0.10048840194940567
0,BADGE,yahoo_answers_topics,3.023649710612777,0.0,0.0
1,BADGE,yahoo_answers_topics,8.825684457931123,0.01981981981981982,0.010226666927337646
2,BADGE,yahoo_answers_topics,14.009557651924041,0.026672369546621045,0.007725216448307037
3,BADGE,yahoo_answers_topics,18.686974381701756,0.03425182807205279,0.006023474037647247
4,BADGE,yahoo_answers_topics,24.4592072267294,0.09998190625037504,0.068128801882267
5,BADGE,yahoo_answers_topics,29.697991623148113,0.01981981981981982,0.0033238083124160767
6,BADGE,yahoo_answers_topics,33.328823703655324,0.022485207100591716,0.011537447571754456
7,BADGE,yahoo_answers_topics,39.09773457960047,0.11156587031177372,0.07539858669042587
8,BADGE,yahoo_answers_topics,43.110987152846526,0.12564834868650898,0.07217936962842941
9,BADGE,yahoo_answers_topics,48.460837547153304,0.0648118846694796,0.059161774814128876
10,BADGE,yahoo_answers_topics,52.38805222368892,0.37322293564815934,0.26841452717781067
11,BADGE,yahoo_answers_topics,57.74660425801453,0.1611565341084792,0.15299147367477417
12,BADGE,yahoo_answers_topics,63.8844353677828,0.5388782814360222,0.38821089267730713
13,BADGE,yahoo_answers_topics,68.2166246187052,0.5514865661435123,0.39213305711746216
14,BADGE,yahoo_answers_topics,75.70518932785923,0.513151651866641,0.3624449372291565
15,BADGE,yahoo_answers_topics,80.82615510498827,0.5294996619719006,0.3680129051208496
